id,Время начала вызова,Время окончания вызова,Время постановки в очередь,Время переключения на оператора,Время окончания разговора с оператором,"Длительность разговора с оператором, сек",Метка
2151,08:36:39,08:43:05,8:37:48,08:38:08,08:42:45,277.0,1
2152,08:33:03,08:36:46,08:34:09,,,,0
2153,08:33:10,08:38:50,8:33:49,08:33:49,08:38:12,263.0,1
2154,08:36:45,08:40:15,8:37:17,08:37:36,08:39:42,126.0,1
2155,08:37:02,08:41:26,8:38:05,08:38:18,08:41:25,187.0,1
2156,08:34:05,08:34:34,,,,,0
2157,08:35:23,08:38:30,08:36:01,,,,0
2158,08:35:31,08:36:57,08:36:41,,,,0
2159,08:35:57,08:37:46,08:37:02,,,,0
2160,08:36:13,08:36:45,,,,,0
2161,08:38:16,08:41:21,8:39:24,08:39:43,08:41:21,98.0,1
2162,08:40:06,08:47:55,8:41:10,08:41:26,08:47:24,358.0,1
2163,08:40:12,08:46:24,8:41:20,08:41:34,08:46:04,270.0,1
2164,08:40:57,08:41:08,,,,,0
2165,08:41:20,08:41:43,,,,,0
2166,08:41:21,08:42:02,,,,,0
2167,08:41:34,08:45:19,08:42:42,,,,0
2168,08:41:37,08:45:24,08:42:45,,,,0
2169,08:42:10,08:47:38,8:42:47,08:43:04,08:47:20,256.0,1
2170,08:42:07,08:42:37,,,,,0
2171,08:44:41,08:48:32,8:45:49,08:46:05,08:48:10,125.0,1
2172,08:42:24,08:44:32,08:43:01,,,,0
2173,08:42:36,08:46:14,08:43:44,,,,0
2174,08:42:42,08:43:47,,,,,0
2175,08:46:53,08:51:19,8:47:14,08:47:29,08:51:19,230.0,1
2176,08:44:45,08:44:45,,,,,0
2177,08:46:56,08:52:19,8:47:38,08:47:38,08:52:07,269.0,1
2178,08:49:00,08:53:06,8:50:08,08:50:27,08:52:21,114.0,1
2179,08:49:38,08:50:58,,,,,0
2180,08:50:56,08:55:15,8:52:01,08:52:20,08:55:13,173.0,1
2181,08:52:40,08:53:51,8:53:49,08:53:49,08:53:51,2.0,1
2182,08:53:12,08:59:55,8:53:52,08:53:52,08:59:22,330.0,1
2183,08:55:00,08:58:52,8:56:08,08:56:25,08:58:49,144.0,1
2184,08:56:35,09:01:29,8:57:43,08:57:57,09:01:26,209.0,1
2185,08:55:18,08:57:23,08:55:50,,,,0
2186,08:56:56,09:02:00,8:58:04,08:58:19,09:01:18,179.0,1
2187,08:57:30,09:02:14,8:58:39,08:59:00,09:01:31,151.0,1
2188,08:57:36,08:59:13,08:58:44,,,,0
2189,08:57:41,09:09:55,8:58:47,09:00:01,09:09:38,577.0,1
2190,08:58:47,08:58:47,,,,,0
2191,08:59:46,08:59:47,,,,,0
2192,09:00:41,09:00:46,,,,,0
2193,09:01:28,09:06:15,9:02:32,09:02:37,09:06:12,215.0,1
2194,09:03:31,09:05:00,9:04:14,09:04:14,09:05:00,46.0,1
2195,09:05:57,09:07:46,9:06:34,09:06:51,09:07:38,47.0,1
2196,09:04:12,09:08:42,9:05:21,09:05:21,09:08:07,166.0,1
2197,09:04:30,09:09:29,9:05:36,09:07:46,09:08:56,70.0,1
2198,09:06:23,09:10:48,9:07:31,09:07:51,09:10:46,175.0,1
2199,09:06:27,09:09:04,9:07:36,09:07:53,09:09:04,71.0,1
2200,09:06:58,09:11:14,9:08:02,09:08:17,09:10:44,147.0,1
2201,09:07:09,09:07:29,,,,,0
2202,09:07:48,09:15:55,9:08:52,09:09:06,09:15:24,378.0,1
2203,09:08:06,09:12:31,9:09:12,09:09:24,09:12:16,172.0,1
2204,09:09:04,09:17:39,9:10:12,09:10:15,09:17:27,432.0,1
2205,09:09:26,09:14:23,9:10:33,09:10:51,09:13:58,187.0,1
2206,09:09:38,09:12:20,9:10:46,09:11:04,09:12:18,74.0,1
2207,09:10:03,09:11:26,,,,,0
2208,09:11:43,09:16:56,9:12:49,09:12:49,09:16:30,221.0,1
2209,09:12:07,09:15:46,9:13:15,09:13:15,09:15:29,134.0,1
2210,09:13:07,09:16:00,9:14:15,09:14:15,09:15:59,104.0,1
2211,09:13:12,09:18:56,9:14:20,09:14:20,09:18:56,276.0,1
2212,09:14:09,09:16:29,9:15:16,09:15:32,09:16:29,57.0,1
2213,09:14:26,09:26:45,9:15:01,09:16:13,09:26:44,631.0,1
2214,09:17:11,09:25:49,9:17:44,09:18:04,09:25:05,421.0,1
2215,09:16:18,09:24:05,9:17:23,09:17:23,09:23:41,378.0,1
2216,09:17:11,09:17:56,,,,,0
2217,09:17:15,09:19:41,9:18:24,09:18:24,09:19:38,74.0,1
2218,09:17:33,09:20:37,9:18:42,09:18:45,09:20:04,79.0,1
2219,09:18:48,09:24:17,9:19:19,09:19:35,09:23:36,241.0,1
2220,09:18:15,09:18:20,,,,,0
2221,09:18:29,09:19:37,,,,,0
2222,09:18:40,09:22:41,9:19:49,09:19:49,09:22:08,139.0,1
2223,09:19:45,09:20:09,,,,,0
2224,09:20:03,09:20:39,,,,,0
2225,09:20:46,09:21:53,,,,,0
2226,09:21:12,09:23:21,09:21:43,,,,0
2227,09:22:03,09:24:55,9:23:12,09:23:15,09:24:53,98.0,1
2228,09:23:01,09:26:52,9:23:53,09:23:53,09:26:42,169.0,1
2229,09:23:09,09:24:26,,,,,0
2230,09:23:17,09:25:49,9:24:26,09:24:26,09:25:49,83.0,1
2231,09:24:24,09:28:07,9:25:33,09:25:36,09:27:37,121.0,1
2232,09:24:32,09:25:03,,,,,0
2233,09:24:59,09:33:43,9:25:25,09:25:25,09:29:32,247.0,1
2234,09:25:19,09:28:46,9:26:25,09:26:25,09:28:20,115.0,1
2235,09:26:08,09:36:35,9:26:39,09:26:45,09:35:57,552.0,1
2236,09:26:21,09:27:08,,,,,0
2237,09:27:16,09:28:26,,,,,0
2238,09:27:30,09:31:17,9:28:18,09:28:18,09:31:17,179.0,1
2239,09:29:03,09:32:34,9:30:11,09:30:14,09:32:03,109.0,1
2240,09:29:05,09:29:40,,,,,0
2241,09:29:12,09:30:24,,,,,0
2242,09:29:58,09:37:07,9:30:35,09:30:35,09:36:30,355.0,1
2243,09:30:47,09:31:55,,,,,0
2244,09:32:01,09:32:38,,,,,0
2245,09:32:17,09:33:16,,,,,0
2246,09:32:30,09:33:00,,,,,0
2247,09:33:10,09:34:01,,,,,0
2248,09:33:25,09:40:45,9:34:34,09:34:34,09:40:05,331.0,1
2249,09:33:41,09:34:00,,,,,0
2250,09:33:59,09:41:36,9:34:34,09:34:34,09:41:04,390.0,1
2251,09:34:04,09:38:07,9:34:52,09:34:52,09:37:55,183.0,1
2252,09:35:07,09:37:55,9:36:16,09:36:19,09:37:52,93.0,1
2253,09:36:57,09:40:11,9:37:45,09:37:59,09:39:38,99.0,1
2254,09:37:08,09:44:30,9:37:43,09:37:43,09:44:29,406.0,1
2255,09:38:25,09:41:39,9:39:34,09:39:48,09:41:32,104.0,1
2256,09:37:24,09:39:31,9:38:12,09:38:15,09:39:27,72.0,1
2257,09:42:22,09:49:25,9:42:55,09:43:14,09:49:16,362.0,1
2258,09:38:36,09:40:43,9:39:17,09:39:34,09:40:42,68.0,1
2259,09:38:54,09:46:02,9:40:02,09:40:15,09:45:34,319.0,1
2260,09:38:41,09:42:41,9:39:47,09:40:53,09:42:37,104.0,1
2261,09:38:46,09:40:20,09:39:53,,,,0
2262,09:40:19,09:43:43,9:41:25,09:41:41,09:43:12,91.0,1
2263,09:39:17,09:40:22,,,,,0
2264,09:39:31,09:39:40,,,,,0
2265,09:39:54,09:46:33,9:40:59,09:42:53,09:46:30,217.0,1
2266,09:41:54,09:44:44,9:43:02,09:43:16,09:44:44,88.0,1
2267,09:40:56,09:41:06,,,,,0
2268,09:44:16,09:55:16,9:45:25,09:45:45,09:55:13,383.0,1
2269,09:49:15,09:55:16,9:49:15,09:49:32,09:55:13,341.0,1
2270,09:43:58,09:51:54,9:44:17,09:44:33,09:51:54,441.0,1
2271,09:41:45,09:42:48,09:42:20,,,,0
2272,09:44:59,09:48:36,9:45:47,09:46:06,09:48:29,143.0,1
2273,09:45:10,09:49:10,9:46:16,09:46:29,09:49:06,157.0,1
2274,09:45:24,09:46:17,9:45:59,09:46:16,09:46:17,1.0,1
2275,09:43:56,09:44:59,,,,,0
2276,09:46:14,09:49:08,9:46:59,09:47:15,09:48:43,88.0,1
2277,09:44:37,09:44:45,,,,,0
2278,09:47:47,10:00:14,9:48:24,09:48:44,10:00:14,690.0,1
2279,09:47:20,09:53:44,9:48:29,09:48:46,09:53:22,276.0,1
2280,09:45:59,09:48:58,9:46:47,09:47:07,09:48:58,111.0,1
2281,09:47:44,09:50:37,9:48:55,09:49:11,09:50:33,82.0,1
2282,09:47:49,09:51:06,9:48:57,09:49:12,09:50:37,85.0,1
2283,09:46:38,09:47:52,,,,,0
2284,09:47:23,09:49:11,09:48:31,,,,0
2285,09:48:36,09:55:08,9:49:45,09:49:59,09:54:42,283.0,1
2286,09:47:46,09:47:46,,,,,0
2287,09:47:57,09:52:31,9:49:06,09:50:38,09:52:30,112.0,1
2288,09:48:12,09:48:20,,,,,0
2289,09:49:36,09:56:57,9:50:41,09:52:04,09:56:31,267.0,1
2290,09:49:48,09:50:38,,,,,0
2291,09:50:00,09:53:36,9:50:35,09:50:41,09:52:24,103.0,1
2292,09:50:29,09:51:51,09:51:09,,,,0
2293,09:52:24,09:54:46,,,,,0
2294,09:53:21,09:58:48,9:54:26,09:54:26,09:58:17,231.0,1
2295,09:53:20,09:54:32,09:54:02,,,,1
2296,09:53:29,10:00:34,9:54:38,09:54:41,09:59:58,317.0,1
2297,09:54:46,09:57:40,9:55:55,09:55:55,09:57:40,105.0,1
2298,09:55:02,09:58:05,9:56:12,09:56:12,09:57:30,78.0,1
2299,09:55:28,09:59:30,,,,,0
2300,09:55:34,09:56:30,,,,,0
2301,09:55:45,09:58:05,9:56:53,09:56:58,09:58:04,66.0,1
2302,09:56:55,10:02:37,9:57:40,09:57:40,10:02:02,262.0,1
2303,09:59:08,10:02:46,9:59:59,09:59:59,10:02:26,147.0,1
2304,09:59:22,10:05:51,10:00:29,10:00:34,10:05:20,286.0,0
2305,10:00:28,10:03:07,10:01:01,10:01:01,10:03:04,123.0,1
2306,10:01:06,10:07:08,10:02:11,10:02:11,10:06:34,263.0,0
2307,10:02:16,10:03:39,,,,,0
2308,10:02:44,10:09:47,10:03:51,10:03:54,10:08:43,289.0,1
2309,10:03:33,10:12:19,10:04:42,10:04:42,10:11:47,425.0,0
2310,10:03:53,10:11:56,10:04:59,10:04:59,10:11:46,407.0,0
2311,10:03:55,10:09:38,10:05:03,10:05:03,10:08:32,209.0,1
2312,10:04:02,10:07:03,10:05:08,10:05:12,10:07:01,109.0,1
2313,10:04:05,10:04:21,,,,,0
2314,10:04:28,10:08:07,10:05:36,10:05:41,10:08:05,144.0,0
2315,10:04:30,10:04:34,,,,,0
2316,10:04:43,10:04:48,,,,,0
2317,10:04:56,10:18:31,10:06:05,10:06:05,10:18:14,729.0,0
2318,10:05:15,10:08:54,10:06:19,10:06:38,10:08:50,132.0,1
2319,10:05:02,10:06:35,10:06:09,,,,0
2320,10:06:47,10:11:16,10:07:59,10:08:11,10:11:16,185.0,1
2321,10:06:56,10:13:58,10:08:03,10:08:18,10:13:54,336.0,1
2322,10:08:11,10:13:45,10:09:23,10:09:23,10:13:45,262.0,1
2323,10:08:13,10:09:10,,,,,0
2324,10:08:44,10:13:19,10:09:49,10:09:49,10:13:18,209.0,0
2325,10:08:57,10:15:51,10:10:06,10:10:09,10:15:13,304.0,0
2326,10:10:05,10:15:25,10:11:14,10:11:34,10:15:25,231.0,1
2327,10:09:45,10:13:42,10:10:51,10:11:48,10:13:19,91.0,1
2328,10:10:20,10:15:04,10:11:26,10:11:48,10:15:04,196.0,1
2329,10:12:03,10:15:24,10:13:04,10:13:21,10:14:58,97.0,1
2330,10:10:57,10:11:54,,,,,0
2331,10:12:47,10:16:17,10:13:53,10:14:09,10:15:34,85.0,1
2332,10:11:07,10:12:44,10:12:13,,,,0
2333,10:11:08,10:16:55,10:11:50,10:11:56,10:16:55,299.0,0
2334,10:11:23,10:11:36,,,,,0
2335,10:13:40,10:18:36,10:14:50,10:15:04,10:18:35,211.0,1
2336,10:12:30,10:15:21,10:13:03,10:13:19,10:15:20,121.0,1
2337,10:12:11,10:22:34,10:12:49,10:14:12,10:22:18,486.0,1
2338,10:12:34,10:14:11,10:13:41,,,,1
2339,10:12:34,10:17:17,10:13:46,10:15:11,10:16:54,103.0,1
2340,10:13:28,10:14:18,,,,,0
2341,10:13:31,10:14:39,10:14:38,,,,0
2342,10:14:21,10:15:09,,,,,0
2343,10:14:31,10:15:43,,,,,0
2344,10:14:55,10:18:19,10:16:02,10:16:05,10:18:19,134.0,0
2345,10:15:00,10:16:25,,,,,0
2346,10:15:14,10:21:17,10:16:19,10:16:19,10:20:48,269.0,1
2347,10:16:04,10:17:07,,,,,0
2348,10:16:07,10:21:31,10:17:14,10:17:19,10:21:31,252.0,0
2349,10:16:24,10:19:37,10:17:30,10:17:30,10:19:34,124.0,0
2350,10:16:39,10:23:44,10:17:49,10:17:49,10:23:14,325.0,1
2351,10:17:39,10:22:54,10:18:48,10:18:51,10:22:25,214.0,1
2352,10:18:12,10:22:44,10:19:21,10:19:21,10:22:41,200.0,0
2353,10:18:17,10:21:25,10:18:57,10:18:57,10:21:22,145.0,1
2354,10:18:22,10:23:02,10:19:28,10:19:28,10:22:20,172.0,0
2355,10:18:33,10:23:39,10:19:44,10:19:44,10:23:17,213.0,0
2356,10:19:36,10:23:44,10:20:45,10:20:50,10:23:43,173.0,0
2357,10:20:12,10:21:04,,,,,0
2358,10:20:42,10:28:23,10:21:50,10:21:55,10:28:23,388.0,1
2359,10:21:12,10:29:36,10:22:22,10:22:22,10:28:59,397.0,0
2360,10:21:30,10:32:57,10:22:38,10:22:41,10:32:57,616.0,0
2361,10:21:59,10:22:29,,,,,0
2362,10:22:07,10:23:04,,,,,0
2363,10:22:12,10:25:12,10:23:19,10:23:19,10:25:12,113.0,0
2364,10:22:48,10:23:08,,,,,0
2365,10:23:29,10:30:24,10:24:39,10:24:39,10:30:24,345.0,0
2366,10:23:33,10:29:42,10:24:43,10:24:43,10:29:33,290.0,0
2367,10:24:05,10:25:13,,,,,0
2368,10:24:30,10:26:08,,,,,0
2369,10:25:36,10:26:26,,,,,0
2370,10:25:40,10:37:07,10:26:48,10:26:48,10:37:03,615.0,0
2371,10:26:03,10:30:10,10:27:09,10:27:09,10:30:10,181.0,0
2372,10:26:25,10:30:29,10:27:33,10:27:33,10:29:53,140.0,0
2373,10:26:27,10:27:26,,,,,0
2374,10:26:31,10:32:08,10:27:40,10:27:40,10:32:06,266.0,0
2375,10:27:56,10:28:04,,,,,0
2376,10:28:02,10:32:24,10:29:11,10:29:16,10:31:44,148.0,0
2377,10:28:09,10:32:41,10:29:16,10:29:16,10:32:41,205.0,1
2378,10:28:16,10:32:51,10:29:27,10:29:41,10:32:26,165.0,1
2379,10:28:23,10:29:56,,,,,0
2380,10:28:34,10:32:04,10:29:43,10:30:04,10:31:34,90.0,1
2381,10:29:20,10:31:15,10:30:01,10:30:12,10:30:55,43.0,0
2382,10:30:18,10:31:31,10:31:28,10:31:28,10:31:31,3.0,0
2383,10:30:57,10:37:13,10:32:04,10:32:04,10:36:46,282.0,0
2384,10:32:05,10:36:09,10:33:14,10:33:14,10:36:09,175.0,0
2385,10:32:14,10:35:23,10:33:23,10:33:23,10:35:08,105.0,0
2386,10:32:29,10:41:09,10:33:40,10:33:45,10:40:20,395.0,0
2387,10:32:56,10:38:02,10:34:04,10:34:04,10:37:36,212.0,0
2388,10:34:34,10:39:05,10:35:39,10:35:39,10:38:43,184.0,0
2389,10:34:41,10:38:15,10:35:47,10:35:47,10:38:09,142.0,1
2390,10:35:41,10:40:49,10:36:50,10:36:50,10:40:16,206.0,0
2391,10:35:50,10:38:20,10:36:59,10:36:59,10:38:15,76.0,1
2392,10:35:54,10:44:06,10:36:25,10:36:47,10:44:05,438.0,1
2393,10:36:00,10:36:42,,,,,0
2394,10:36:20,10:38:30,10:36:56,10:36:59,10:38:03,64.0,0
2395,10:36:30,10:41:59,10:37:01,10:38:44,10:41:50,186.0,1
2396,10:37:42,10:41:30,10:38:48,10:38:48,10:41:30,162.0,0
2397,10:38:32,10:43:08,10:39:38,10:39:41,10:42:29,168.0,0
2398,10:38:44,10:41:45,10:39:55,10:39:55,10:41:15,80.0,0
2399,10:38:50,10:43:07,10:39:55,10:40:00,10:42:33,148.0,1
2400,10:40:24,10:43:07,10:40:24,10:40:29,10:42:33,124.0,0
2401,10:38:59,10:41:50,10:40:06,10:40:06,10:41:16,70.0,1
2402,10:39:24,10:40:40,,,,,0
2403,10:39:33,10:44:40,10:40:42,10:40:42,10:44:40,238.0,0
2404,10:39:55,10:44:41,10:41:04,10:41:04,10:43:56,172.0,0
2405,10:40:15,10:42:27,10:41:21,10:41:23,10:41:56,33.0,1
2406,10:41:55,10:42:27,10:41:55,,,0.0,0
2407,10:40:17,10:52:46,10:40:31,10:42:43,10:52:35,592.0,1
2408,10:40:51,10:45:06,10:42:00,10:42:00,10:44:18,138.0,0
2409,10:41:21,10:46:51,10:42:30,10:42:30,10:46:25,235.0,0
2410,10:43:18,10:46:12,10:43:54,10:44:14,10:46:10,116.0,0
2411,10:43:41,10:44:49,,,,,0
2412,10:44:19,10:50:40,10:45:27,10:45:27,10:50:40,313.0,0
2413,10:45:10,10:47:33,10:46:19,10:46:22,10:47:33,71.0,0
2414,10:45:55,10:50:42,10:46:30,10:46:30,10:50:02,212.0,1
2415,10:47:07,10:51:20,10:47:43,10:47:43,10:51:13,210.0,0
2416,10:47:09,10:50:54,10:47:57,10:47:57,10:50:28,151.0,0
2417,10:48:08,10:51:14,10:49:14,10:49:14,10:50:32,78.0,1
2418,10:49:43,10:55:12,10:50:51,10:50:51,10:55:10,259.0,1
2419,10:50:00,10:54:08,10:51:06,10:51:06,10:53:30,144.0,0
2420,10:50:11,10:53:18,10:51:19,10:51:19,10:52:43,84.0,0
2421,10:50:36,10:56:01,10:51:44,10:51:44,10:55:57,253.0,0
2422,10:51:33,10:56:28,10:52:41,10:52:41,10:56:24,223.0,0
2423,10:51:53,10:56:58,10:53:02,10:53:02,10:56:55,233.0,1
2424,10:51:59,10:57:02,10:53:08,10:53:08,10:57:02,234.0,0
2425,10:52:29,10:54:51,10:53:38,10:53:43,10:54:51,68.0,0
2426,10:53:21,10:58:49,10:54:26,10:54:26,10:58:49,263.0,0
2427,10:53:52,10:57:35,10:55:00,10:55:00,10:56:53,113.0,0
2428,10:54:35,11:00:25,10:55:44,10:55:49,11:00:00,251.0,1
2429,10:55:09,10:57:50,10:56:18,10:56:18,10:57:50,92.0,0
2430,10:55:32,10:58:47,10:56:38,10:56:38,10:58:12,94.0,1
2431,10:55:34,11:01:24,10:56:44,10:56:44,11:00:47,243.0,1
2432,10:55:36,10:59:22,10:56:43,10:56:43,10:58:53,130.0,0
2433,10:56:24,11:09:40,10:57:31,10:57:31,11:09:35,724.0,0
2434,10:56:30,11:03:24,10:57:39,10:57:39,11:02:56,317.0,1
2435,10:57:15,10:59:23,10:58:20,10:58:20,10:59:20,60.0,0
2436,10:58:00,11:04:27,10:59:07,10:59:26,11:04:04,278.0,1
2437,10:57:33,11:02:03,10:58:12,10:58:12,11:01:25,193.0,0
2438,10:58:13,11:02:38,10:59:19,10:59:36,11:02:19,163.0,1
2439,10:58:00,11:03:01,10:58:37,10:58:54,11:02:24,210.0,0
2440,10:58:47,11:01:42,10:59:55,11:00:10,11:01:38,88.0,1
2441,10:58:31,10:58:52,,,,,0
2442,10:59:27,11:05:27,11:00:32,11:00:51,11:05:02,251.0,1
2443,10:59:49,11:07:16,11:00:58,11:01:05,11:07:16,371.0,0
2444,11:00:40,11:04:48,11:01:48,11:01:53,11:04:45,172.0,0
2445,11:00:54,11:05:25,11:01:27,11:01:27,11:05:24,237.0,0
2446,11:01:00,11:04:16,11:02:09,11:02:25,11:03:58,93.0,0
2447,11:01:40,11:07:15,11:02:20,11:04:02,11:06:55,173.0,1
2448,11:02:34,11:05:28,11:03:43,11:04:00,11:05:26,86.0,1
2449,11:01:54,11:02:45,,,,,0
2450,11:03:14,11:14:31,11:04:20,11:04:20,11:14:28,608.0,1
2451,11:03:57,11:11:03,11:05:02,11:05:17,11:10:26,309.0,1
2452,11:03:29,11:06:54,11:04:38,11:05:26,11:06:54,88.0,1
2453,11:03:52,11:07:43,11:04:27,11:04:54,11:07:12,138.0,1
2454,11:04:32,11:12:45,11:05:12,11:05:26,11:12:45,439.0,1
2455,11:04:32,11:08:33,11:05:37,11:05:57,11:08:32,155.0,1
2456,11:04:33,11:05:48,11:05:37,,,,0
2457,11:05:54,11:16:33,11:07:00,11:07:17,11:16:33,556.0,1
2458,11:04:58,11:07:49,11:07:07,11:07:19,11:07:49,30.0,1
2459,11:05:38,11:11:17,11:06:14,11:07:05,11:10:53,228.0,1
2460,11:06:23,11:18:38,11:07:30,11:07:49,11:18:01,612.0,1
2461,11:07:13,11:10:03,11:08:20,11:08:36,11:09:34,58.0,1
2462,11:08:22,11:11:28,11:09:30,11:09:45,11:10:48,63.0,1
2463,11:07:22,11:07:32,,,,,0
2464,11:07:31,11:08:41,,,,,0
2465,11:08:48,11:12:37,11:09:57,11:10:16,11:11:53,97.0,1
2466,11:09:18,11:18:19,11:10:10,11:10:27,11:18:07,460.0,1
2467,11:09:25,11:13:44,11:10:34,11:10:54,11:13:44,170.0,1
2468,11:08:49,11:09:13,,,,,0
2469,11:09:43,11:14:03,11:10:31,11:11:56,11:14:03,127.0,0
2470,11:09:48,11:10:27,,,,,0
2471,11:11:38,11:14:22,11:12:12,11:12:29,11:14:03,94.0,1
2472,11:10:33,11:11:11,,,,,0
2473,11:10:36,11:11:33,,,,,0
2474,11:10:37,11:11:57,,,,,0
2475,11:12:31,11:18:05,11:13:41,11:13:58,11:17:50,232.0,1
2476,11:12:38,11:20:33,11:13:45,11:14:00,11:20:33,393.0,1
2477,11:11:19,11:11:41,,,,,0
2478,11:11:22,11:12:01,,,,,0
2479,11:13:34,11:21:16,11:15:52,11:16:06,11:20:46,280.0,1
2480,11:12:42,11:17:06,11:13:50,11:14:06,11:16:29,143.0,1
2481,11:11:51,11:12:48,,,,,0
2482,11:12:03,11:16:23,11:13:08,11:14:22,11:15:56,94.0,0
2483,11:12:04,11:16:36,11:12:36,11:12:58,11:16:11,193.0,0
2484,11:12:07,11:13:13,,,,,0
2485,11:12:16,11:19:07,11:13:22,11:14:36,11:18:39,243.0,0
2486,11:12:58,11:14:04,,,,,0
2487,11:13:08,11:14:19,,,,,0
2488,11:13:38,11:17:19,11:14:44,,,,0
2489,11:13:46,11:13:49,,,,,0
2490,11:14:01,11:14:03,,,,,0
2491,11:15:53,11:24:36,11:16:22,11:16:36,11:25:31,535.0,1
2492,11:17:22,11:20:40,11:17:50,11:18:03,11:20:05,122.0,1
2493,11:16:43,11:25:40,11:17:50,11:18:09,11:25:40,451.0,1
2494,11:17:17,11:28:38,11:18:27,11:18:44,11:28:38,594.0,1
2495,11:15:06,11:16:10,,,,,0
2496,11:16:32,11:16:33,,,,,0
2497,11:17:11,11:19:22,11:17:33,11:17:51,11:18:45,54.0,1
2498,11:16:33,11:17:16,,,,,0
2499,11:17:12,11:20:14,11:18:22,,,,0
2500,11:17:19,11:18:34,,,,,0
2501,11:17:25,11:23:25,11:17:59,,,,0
2502,11:17:26,11:18:29,,,,,0
2503,11:19:14,11:30:26,11:20:23,11:20:38,11:29:49,551.0,1
2504,11:19:17,11:27:23,11:20:26,11:20:46,11:26:40,354.0,1
2505,11:20:09,11:24:21,11:21:18,11:21:35,11:23:38,123.0,1
2506,11:20:54,11:25:26,11:22:00,11:22:14,11:24:51,157.0,1
2507,11:20:25,11:21:30,11:21:04,11:21:23,11:21:30,7.0,1
2508,11:18:37,11:20:21,11:19:46,,,,0
2509,11:18:42,11:19:38,,,,,0
2510,11:19:00,11:20:21,11:20:06,,,,0
2511,11:19:52,11:19:55,,,,,0
2512,11:20:09,11:23:47,11:21:18,11:23:41,11:23:47,6.0,1
2513,11:22:31,11:25:01,11:23:38,11:23:54,11:25:01,67.0,1
2514,11:20:21,11:24:48,11:21:27,,,,0
2515,11:23:35,11:27:42,11:24:44,11:24:59,11:27:07,128.0,1
2516,11:24:50,11:27:49,11:25:21,11:25:40,11:27:44,124.0,1
2517,11:23:49,11:27:32,11:24:55,11:25:12,11:27:11,119.0,1
2518,11:24:19,11:31:21,11:25:28,11:25:44,11:30:40,296.0,1
2519,11:20:41,11:24:26,11:21:49,,,,0
2520,11:20:42,11:25:55,11:21:51,,,,0
2521,11:21:15,11:24:58,11:22:23,,,,0
2522,11:24:55,11:28:27,11:25:30,11:25:49,11:28:24,155.0,1
2523,11:25:44,11:30:09,11:26:24,11:26:41,11:29:46,185.0,1
2524,11:22:00,11:22:18,,,,,0
2525,11:22:25,11:23:35,11:22:57,,,,0
2526,11:22:33,11:23:39,11:23:05,,,,0
2527,11:22:49,11:25:43,11:23:58,,,,0
2528,11:22:52,11:24:07,11:23:43,,,,0
2529,11:23:02,11:30:11,11:24:11,11:26:56,11:29:57,181.0,1
2530,11:23:18,11:26:46,11:24:25,,,,0
2531,11:23:20,11:36:28,11:24:27,11:27:15,11:35:50,515.0,1
2532,11:24:34,11:25:28,11:25:01,,,,0
2533,11:24:46,11:24:46,,,,,0
2534,11:27:06,11:35:39,11:28:15,11:28:29,11:35:39,430.0,1
2535,11:25:17,11:29:05,11:26:29,,,,0
2536,11:26:52,11:29:45,11:27:30,11:27:46,11:29:45,119.0,1
2537,11:27:46,11:32:41,11:28:53,11:29:12,11:32:36,204.0,1
2538,11:25:55,11:29:37,11:27:00,,,,0
2539,11:25:58,11:35:26,11:27:04,11:29:49,11:34:55,306.0,0
2540,11:26:07,11:26:25,,,,,0
2541,11:26:25,11:27:19,,,,,0
2542,11:28:27,11:32:05,11:29:36,11:29:51,11:31:50,119.0,1
2543,11:27:50,11:29:03,,,,,0
2544,11:28:33,11:31:42,11:28:52,11:29:47,11:31:11,84.0,0
2545,11:28:39,11:35:28,11:29:45,11:31:44,11:35:27,223.0,1
2546,11:28:44,11:29:49,,,,,0
2547,11:30:05,11:34:24,11:30:54,11:31:14,11:33:51,157.0,1
2548,11:30:27,11:38:09,11:31:31,11:31:51,11:38:09,227.0,1
2549,11:34:39,11:38:09,11:34:39,11:34:56,11:38:09,193.0,1
2550,11:31:00,11:32:42,11:32:08,11:32:27,11:32:42,15.0,1
2551,11:31:21,11:34:22,11:32:28,11:32:43,11:34:17,94.0,1
2552,11:30:34,11:58:21,11:31:41,11:32:47,11:57:54,1507.0,0
2553,11:32:51,11:38:46,11:33:59,11:34:19,11:38:04,225.0,1
2554,11:31:20,11:35:04,11:32:29,,,,0
2555,11:31:54,11:32:52,,,,,0
2556,11:32:02,11:33:40,,,,,0
2557,11:32:09,11:32:35,,,,,0
2558,11:34:02,11:38:26,11:35:10,11:35:26,11:37:49,143.0,1
2559,11:33:04,11:35:22,11:34:13,,,,0
2560,11:33:09,11:33:19,,,,,0
2561,11:33:35,11:34:43,,,,,0
2562,11:34:36,11:34:49,,,,,0
2563,11:34:39,11:39:56,11:35:44,11:36:03,11:39:17,194.0,1
2564,11:35:17,11:39:42,11:36:25,11:36:40,11:39:09,149.0,1
2565,11:34:54,11:36:41,11:35:31,11:35:33,11:36:39,66.0,0
2566,11:35:03,11:36:00,,,,,0
2567,11:35:53,11:39:16,11:36:39,11:36:58,11:39:12,134.0,1
2568,11:35:24,11:47:02,11:36:01,11:36:21,11:46:36,615.0,1
2569,11:36:07,11:55:29,11:37:15,11:37:57,11:54:48,1011.0,1
