id,text,label
7292,тариф код набора,мобильная связь - тарифы
7293,Смеховызов,Мобильные услуги
7294,Дешевле надо с Россией поговорить ,тарифы - подбор
7295,«тариф»,тарифы - подбор
7296,Активация сим карты,SIM-карта и номер
7297,добрый вечер. как можно сменить тариф на тариф?,мобильная связь - тарифы
7298,Мне нужны настройки для интернета,Мобильный интернет
7299, Мне нужны настройки для интернета,Мобильный интернет
7300,подскажи мне самый обычный тариф без абонентских плат,тарифы - подбор
7301,тариф,мобильная связь - тарифы
7302,тариф,мобильная связь - тарифы
7303,Какие тарифы лучше для интернета,FAQ - интернет
7304,Ну обе тарифа скажите какие плюсы и минусы,мобильная связь - тарифы
7305,Другой тариф,мобильная связь - тарифы
7306,Сколько гиг интерната дают,мобильная связь - тарифы
7307,Мне такой тариф нужен ну 8гб в неделю днем,FAQ - интернет
7308,Нужен новый тариф,мобильная связь - тарифы
7309,Все тарифы,мобильная связь - тарифы
7310,Есть. Я хочу подключить тариф на месяц,мобильная связь - тарифы
7311,тариф 'тариф'  Сколько стоит,мобильная связь - тарифы
7312,Как отключить все платные услуги?,FAQ - тарифы и услуги
7313,Можно узнать баланс на номере,Баланс
7314,как узнать тариф,тарифы - подбор
7315,тариф,мобильная связь - тарифы
7316,как проверить тарифный план ,FAQ - тарифы и услуги
7317,Как пополнить баланс,Баланс
7318,Пополнить баланс через интернет,Оплата
7319,Подскажите пожалуйста команду для перехода на тариф,мобильная связь - тарифы
7320,как узнать как потратил баланс,Баланс
7321,Проверка тарифа,FAQ - тарифы и услуги
7322,Отправьте пожалуйста авто настройки,FAQ - интернет
7323,операторвсе,мобильная связь - тарифы
7324,мне сказали что у вас есть тариф,мобильная связь - тарифы
7325,Как переведи новый номер,SIM-карта и номер
7326,Сколько ед показать,Баланс
7327,"Здравствуйте, извините, но как можно отключить тариф?",FAQ - тарифы и услуги
7328,Какие есть тарифы с безлимитным интернетом?,Мобильные услуги
7329,Модем для тв,Устройства
7330,Новый номер,SIM-карта и номер
7331,Хотела узнать тариф ватсап и однокл бесплатно же,мобильная связь - тарифы
7332,А где можно посмотреть свободные номера оператор,SIM-карта и номер
7333,Из-за того что к меня закончился тарифный пакет интернета у меня не работает нормально интернет от дополнительного пакета,тарифы - подбор
7334," Здравствуйте,  где нибудь на сайте есть список свободных номеров?",SIM-карта и номер
7335,Мне надо сменить тариф на тариф,мобильная связь - тарифы
7336,Как проверить какой у меня тариф,FAQ - тарифы и услуги
7337,Мой тариф ,FAQ - тарифы и услуги
7338,Как можно подключить тариф?,мобильная связь - тарифы
7339,"У меня уже выбран русский язык,но ко приходят смски от вашей компании на английском",FAQ - тарифы и услуги
7340,тариф,Мобильные услуги
7341,"Хватит сеять мифы что у вас отличный интернет,не можете охватить даже черты столицы,стоит 4g,а на деле E.Ужасно обозленная на вас пользователь вашей интернет связи:-(",Баланс
7342,Даже не куда писать отзыв,запрос обратной связи
7343,тариф,мобильная связь - тарифы
7344,Узнать тариф,FAQ - тарифы и услуги
7345, для тарифа тариф,мобильная связь - тарифы
7346,Я хочу изменит свой номер,SIM-карта и номер
7347,Как я могу пополнит номер,SIM-карта и номер
7348,Как подключить услугу?,Мобильные услуги
7349,"услуга! Скажите пожалуйста как я могу с оператор сделать перевод на другой оператор, например на ?",Оплата
7350,тариф,мобильная связь - тарифы
7351,тариф,мобильная связь - тарифы
7352,тариф  за тариф,мобильная связь - тарифы
7353,Как перейти  на тариф за тариф,мобильная связь - тарифы
7354,Как перейти на тариф,мобильная связь - тарифы
7355,Каманда на доп. Трафик,Мобильные услуги
7356,интернет,мобильная связь - тарифы
7357,Интернет тарифы,мобильная связь - тарифы
7358,«тариф»,мобильная связь - тарифы
7359,«тариф»,мобильная связь - тарифы
7360,Ето номер на кому регистован как узнат,SIM-карта и номер
7361,Какие есть тарифны,мобильная связь - тарифы
7362,тариф,мобильная связь - тарифы
7363, Мой оператордан карыз алалбай жатам,Личный кабинет
7364,Как я могу пополнить баланс на другую номер,FAQ - тарифы и услуги
7365,Сколько стоит позвонит в России с моего тарифы ,Роуминг
7366,тариф,мобильная связь - тарифы
7367,Здравствуйте Есть у вас безлимитный интернет,Мобильные услуги
7368,Как пополнить баланс через ?,Оплата
7369,тариф,мобильная связь - тарифы
7370,«тариф»,мобильная связь - тарифы
7371,Есть новый тарив услуга в месятс,мобильная связь - тарифы
7372,«тариф»,мобильная связь - тарифы
7373,услуга в месятс,мобильная связь - тарифы
7374,Есть ли тариф в месятс,мобильная связь - тарифы
7375,Установка переадресации,Мобильные услуги
7376,Установка переадресации,Мобильные услуги
7377,Интернет хорошо работает в ак-ордо 3,мобильная связь - тарифы
7378,Интернет тарифы,мобильная связь - тарифы
7379,тариф 390,мобильная связь - тарифы
7380,Переадресация,Мобильные услуги
7381,безлимит на 1 день,мобильная связь - тарифы
7382,«тариф»,мобильная связь - тарифы
7383,Запрос «Перезвони мне»,запрос обратной связи
7384,тариф,мобильная связь - тарифы
7385,номер,SIM-карта и номер
7386,Что я подключил ,Баланс
7387,Сейчас я подключил услугу Позвони как мне отключать ,Мобильные услуги
7388,тариф для интернета,мобильная связь - тарифы
7389,"Я на тарифе тариф!, Роуминг автоматически подключен или нет?",мобильная связь - тарифы
7390,Мой тариф ,FAQ - тарифы и услуги
7391,Как отключить тариф за 50,FAQ - тарифы и услуги
7392,Телефон для жалоб,запрос обратной связи
7393,Отключить мелодию для звонков,Мобильные услуги
7394,Интернет тарифы ,мобильная связь - тарифы
7395,тарифы,мобильная связь - тарифы
7396,без абонентской платы,тарифы - подбор
7397,«тариф»,мобильная связь - тарифы
7398,тариф,мобильная связь - тарифы
7399,Как узнать сколько я потратил за текущий месяц,Баланс
7400,Сколько я трачу за месяц,Баланс
7401,тариф,мобильная связь - тарифы
7402,Как надо удалить акаунт мой беелине,Личный кабинет
7403,тариф,мобильная связь - тарифы
7404,тариф,мобильная связь - тарифы
7405,Салам а почему у меня доп баланс написано 50сом,Баланс
7406,А нет на балансе,Баланс
7407,тариф на 60сом,мобильная связь - тарифы
7408,Как перейти тариф 60с нед,мобильная связь - тарифы
7409,Безлимитный интернет,Мобильные услуги
7410,Безлимит за 20,мобильная связь - тарифы
7411,Здраствуйте я хотел изменить номер ,SIM-карта и номер
7412,тариф,мобильная связь - тарифы
7413,Я отправила запрос на месясную детализацию,Баланс
7414,Что можно сделать с дополнительным балансом,Баланс
7415,"Что делать, если по ошибке пополнили баланс на чужой номер?",Баланс
7416,Айдан как выйти из тарифа услуга,FAQ - тарифы и услуги
7417,Какие тарифы есть,тарифы - подбор
7418,тариф,мобильная связь - тарифы
7419,Мне нужно для связи какой тариф лудчше не подскажите,FAQ - тарифы и услуги
7420,услуга тарифы,мобильная связь - тарифы
7421,тариф,мобильная связь - тарифы
7422,Как пополнить баланс другого номера с моего баланса ,Оплата
7423,Как перейти на ,мобильная связь - тарифы
7424,Выбрать номер,SIM-карта и номер
7425,тариф,мобильная связь - тарифы
7426,тариф за 50,мобильная связь - тарифы
7427,тариф,мобильная связь - тарифы
7428,тарифы,мобильная связь - тарифы
7429,Мне нужно звонить в Узбекистан сколько это будет стоить,FAQ - тарифы и услуги
7430,Скиньте настройки интернета ,Мобильный интернет
7431,тарифы,мобильная связь - тарифы
7432,Все,мобильная связь - тарифы
7433,,мобильная связь - тарифы
7434,Можно ли с баланса перевести деньги на другой номер ,Оплата
7435,,мобильная связь - тарифы
7436,Запрос «Перезвони мне»,запрос обратной связи
7437,номер,запрос обратной связи
7438,1 интернет,мобильная связь - тарифы
7439,Как подключить тариф на тариф ,мобильная связь - тарифы
7440,Смартфон,Устройства
7441,тариф я ничяено нажал ,мобильная связь - тарифы
7442,тариф я нечайно подключил,мобильная связь - тарифы
7443,Мне пришла смс прокачай свой тариф до безлимита,мобильная связь - тарифы
7444,А как отключить этот безлемитный тариф,FAQ - тарифы и услуги
7445,Для интернета,мобильная связь - тарифы
7446,тариф,мобильная связь - тарифы
7447,Переадресасия,Мобильные услуги
7448,Все тарифы ,мобильная связь - тарифы
7449,для интернета,мобильная связь - тарифы
7450,без абонентской платы,тарифы - подбор
7451,для звонков,мобильная связь - тарифы
7452,Как можно взять мб пакетов на тариф если у вас не закончилась сурок,мобильная связь - тарифы
7453,тариф,мобильная связь - тарифы
7454,Меня сколка долк можете даст,Мобильные услуги
7455,Номер голосовой почты ,Мобильные услуги
7456,Есть контакт,Мобильные услуги
7457,тариф месяц,мобильная связь - тарифы
7458,"Я перешёл на тариф ,,тариф,,тариф.какие преимушества этого тарифа перед другими тарифами?",мобильная связь - тарифы
7459,Сколько стоит симки тариф,мобильная связь - тарифы
7460,тариф,мобильная связь - тарифы
7461,тариф,мобильная связь - тарифы
7462,все тарифы,мобильная связь - тарифы
7463,тариф,мобильная связь - тарифы
7464,тариф,мобильная связь - тарифы
7465,тариф,мобильная связь - тарифы
7466,Как сменить номер?,SIM-карта и номер
7467,тариф болше,мобильная связь - тарифы
7468,Есть контакт,Мобильные услуги
7469,Есть акции при пополнении баланса,Оплата
7470,У меня работает интернет?,мобильная связь - тарифы
7471,Как перевести деньги с баланса,Оплата
7472,Как перевести деньги,Оплата
7473,Не могу подобрать тариф. Только для звонка ,тарифы - подбор
7474,тариф для звонков ,мобильная связь - тарифы
7475,Как перейти на тариф,мобильная связь - тарифы
7476,Как выполнить мобильный перевод,Оплата
7477,услуга,Мобильные услуги
7478,Сколько у меня интернета ,Баланс
7479,тариф домашний интернет безлимитный,мобильная связь - тарифы
7480,тариф,мобильная связь - тарифы
7481,Домашний интернет безлимит,мобильная связь - тарифы
7482,Какой тариф для интернет удобно и дешевле ,мобильная связь - тарифы
7483,Тариф,мобильная связь - тарифы
7484,тариф,мобильная связь - тарифы
7485,А как отключить ториф,FAQ - тарифы и услуги
7486,4g слабый,мобильная связь - зона обслуживания
7487,А можно отключить и заново подключить,Личный кабинет
7488,тариф,мобильная связь - тарифы
7489,«тариф»,мобильная связь - тарифы
7490,без абонентской платы,тарифы - подбор
7491,Как перейти на тариф,мобильная связь - тарифы
7492,А как отключить тариф,FAQ - тарифы и услуги
7493,Почему он не переключает мой тариф,мобильная связь - тарифы
7494,«тариф»,мобильная связь - тарифы
7495,Отправьте автонастройки интернет пожалуйста на айфон 7 плюс,FAQ - интернет
7496,Я из ноокат. Мне дешевле вые тарифы надо. За день 3 сома унас есть? ,тарифы - подбор
7497,для звонков,мобильная связь - тарифы
7498,«тариф»,мобильная связь - тарифы
7499,Команды не выполняются вообще,Мобильные услуги
7500,Интернет настройки не высланы до сих пор,Мобильные услуги
7501,Платные команды не показаны,Мобильные услуги
7502,тариф как прдкг,мобильная связь - тарифы
7503,тариф,мобильная связь - тарифы
7504,тариф,мобильная связь - тарифы
7505,номер,SIM-карта и номер
7506,Перевод единицы на другой номер,Оплата
7507,Я хотел узнать всё о своем тарифе,FAQ - тарифы и услуги
7508,тариф,мобильная связь - тарифы
7509,Когда мне дайте айфон,Устройства
7510,Хочу бесплатная айфона,Устройства
7511,Я забыла пороль,Личный кабинет
7512,Пороль ,Личный кабинет
7513,Как отключить свой номер от услуги ты где,Мобильные услуги
7514,Как купить авиабилеты через оператор,Мобильные услуги
7515,Интернет,мобильная связь - тарифы
7516,тариф,мобильная связь - тарифы
7517,тариф,мобильная связь - тарифы
7518,сколко у меня остался мб,Баланс
7519,Интернет ынгайлуу,мобильная связь - тарифы
7520,Услуги для интернета,Мобильные услуги
7521,Услуги для интернета,Мобильные услуги
7522,тариф,мобильная связь - тарифы
7523,«тариф»,мобильная связь - тарифы
7524,тариф,мобильная связь - тарифы
7525,Как сменить номер.,SIM-карта и номер
7526,тариф?,мобильная связь - тарифы
7527,Можно кокой тариф есть меньше платить,тарифы - подбор
7528,для интернета,мобильная связь - тарифы
7529,«тариф»,мобильная связь - тарифы
7530,тариф такой тариф эсть,мобильная связь - тарифы
7531,Забыла пароль,Личный кабинет
7532,Здравствуйте Подскажите пожалуйста как установить пакет интернета тариф?,Мобильный интернет
7533,тариф,мобильная связь - тарифы
7534,«тариф»,мобильная связь - тарифы
7535,для звонков,мобильная связь - тарифы
7536,услуга тариф,мобильная связь - тарифы
7537,,мобильная связь - тарифы
7538,тариф,мобильная связь - тарифы
7539,Как вотановить номер? ,SIM-карта и номер
7540,Блокировка сим карт,SIM-карта и номер
7541,Как разблокировать номер.,SIM-карта и номер
7542,тариф,мобильная связь - тарифы
7543,тариф,мобильная связь - тарифы
7544,без абонентской платы,тарифы - подбор
7545,для звонков,мобильная связь - тарифы
7546,«тариф»,мобильная связь - тарифы
7547,«тариф»,мобильная связь - тарифы
7548,тариф,мобильная связь - тарифы
7549,тариф,мобильная связь - тарифы
7550,Я хочу перевести эдиницы,Оплата
7551,Как получить доверительный платеж? ,Мобильные услуги
7552,Почему не приходит отчет о доставке сообщении,Баланс
7553,Почему снимают у меня деньги,Баланс
7554,о новом тарифе инфо,мобильная связь - тарифы
7555,«тариф»,мобильная связь - тарифы
7556,«тариф»,мобильная связь - тарифы
7557,«тариф»,мобильная связь - тарифы
7558,тариф,мобильная связь - тарифы
7559, 15,мобильная связь - тарифы
7560,тариф,мобильная связь - тарифы
7561,Я хочу сменить тариф...какую  ты предлагаешь,тарифы - подбор
7562,А по дешевле,тарифы - подбор
7563,Для Интернета,мобильная связь - тарифы
7564,Здравствуйте. Я забыла подключить роуминг перед отъездом в Россию. Теперь я не могу подключить эту услугу через личный кабинет. Подскажите пожалуйста как мне быть? ,Мобильные услуги
7565,Можна узнайт архивный тариф,FAQ - тарифы и услуги
7566,Расскажи про тарифы,мобильная связь - тарифы
7567,Здравствуйте. Я забыла подключить роуминг ,Мобильные услуги
7568,Как пополнить баланс,Баланс
7569,Как отключить услугу,Мобильные услуги
7570,Меня интересует 4G роутер,Устройства
7571,Да интернет тарифы для роутера,мобильная связь - тарифы
7572,"Я потерял сим карту которую сегодня приобрёл, можно ли отключить эту сим карту?",SIM-карта и номер
7573,Пароль от личного кабинета?,Личный кабинет
7574,Заблокируйте номер,SIM-карта и номер
7575,тариф,мобильная связь - тарифы
7576,Мой номер заблакирован,SIM-карта и номер
7577,Причины блокировки,SIM-карта и номер
7578,Как подключить роуминг через Личный кабинет?,Личный кабинет
7579,как говорить по скайп без пополнения счёта,Баланс
7580,Здравствуйте. Я уехала из страны не подключив роуминг ,Роуминг
7581,Забыла подключить роуминг ,Мобильные услуги
7582,Интернет на час,Мобильные услуги
7583,У меня тарифный план тариф за 95сом в неделю. По нему обещают 4гб интернета на высокой скорости. Но у меня он ужасно медленный и все время стоит буковка Е,тарифы - подбор
7584,Введите свой вопросУ меня тарифный план тариф за 95сом в неделю. По нему обещают 4гб интернета на высокой скорости. Но у меня он ужасно медленный и все время стоит буковка Е,тарифы - подбор
7585,Медленный интернет на тарифе простто,мобильная связь - тарифы
7586,Акаунт создават как,Личный кабинет
7587,Здравствуйте хотела сменить номер можете помочь.,FAQ - тарифы и услуги
7588,То что меняю номер приходит что он занят,SIM-карта и номер
7589,перевод как будет,Оплата
7590,перевод ,Оплата
7591,смартфон,Устройства
7592,Звонки вне сети,FAQ - интернет
7593,Как можно узнать свой тариф на телефоне,FAQ - тарифы и услуги
7594,Как отключить тариф,FAQ - тарифы и услуги
7595,Вам помочь подобрать тариф?,тарифы - подбор
7596,Самый выгодный тариф,тарифы - подбор
7597,Как узнать баланс?,Баланс
7598,информация о тарифе тариф,мобильная связь - тарифы
7599,тариф,мобильная связь - тарифы
7600,доброе утро как узнать тарифный план свой,FAQ - тарифы и услуги
7601,тариф,мобильная связь - тарифы
7602,Как можно отключить платные услуги,FAQ - тарифы и услуги
7603,тариф,мобильная связь - тарифы
7604,тарифы,мобильная связь - тарифы
7605,интернет настройки,Мобильный интернет
7606,Отправить автонастройки с сайта,Мобильный интернет
7607,отключить,Мобильные услуги
7608,убрать,Мобильные услуги
7609,как активировать карту,SIM-карта и номер
7610,тариф,мобильная связь - тарифы
7611,тариф,мобильная связь - тарифы
7612,тариф услугу как можно отключить?,FAQ - тарифы и услуги
7613,Самый дешевый тариф,тарифы - подбор
7614,зона охвата,мобильная связь - зона обслуживания
7615,карта покрытия,мобильная связь - зона обслуживания
7616,Отправьте номер отдела по sip ,FAQ - интернет
7617,Как пополнить баланс,Баланс
7618,А услуга,Мобильные услуги
7619,выдать услуга,Мобильные услуги
7620,услуга есть контакт,Мобильные услуги
7621,Подключить роуминг из-за границы,Мобильные услуги
7622,Как могу отключить тариф,FAQ - тарифы и услуги
7623,Автоматическая настройка оператор,FAQ - интернет
7624,Свободен ли номер,SIM-карта и номер
7625,Проверка свободного номера,SIM-карта и номер
7626,есть контакт,Мобильные услуги
7627,Самый дешевый тарифный план можете сказать,FAQ - тарифы и услуги
7628,тарифы,мобильная связь - тарифы
7629,«тариф»,мобильная связь - тарифы
7630,Почему вы мне не даете дополнительный баланс тарифот 000,Баланс
7631,Как узнать свой номер?,SIM-карта и номер
7632,Что за услуга позвони ,Мобильные услуги
7633,Скажите пожалуйста как поменять номер,SIM-карта и номер
7634,Добрый день! Как отключить роуминг?,Мобильные услуги
7635,Замените  мой  тариф  на услуга на неделю,мобильная связь - тарифы
7636,"Здравствуйте, как проверить свободный номер и заменить его? ",SIM-карта и номер
7637,услуга,Мобильные услуги
7638,услуга,Мобильные услуги
7639,Добрый день. Где можно купить номера с новым кодом ,SIM-карта и номер
7640,в тарифсом можно ли подключить повторно дополнительный пакет,мобильная связь - тарифы
7641,Настройка интернета,Мобильный интернет
7642,У меня тариф ,FAQ - тарифы и услуги
7643,Как проводит на студентический тариф ?,FAQ - тарифы и услуги
7644,сим карта заблокировалась. ввел неверный пин код. что делать?,SIM-карта и номер
7645,как отключить тариф,Мобильные услуги
7646,Мы положили единицу неможем подключить,Баланс
7647,услуга позвони,Мобильные услуги
7648,Можете с номером найти позвонившиеся мне кто является он или она? ,запрос обратной связи
7649,"Мне нужно действительно, потому что те являющий номер нам звонило стронно",Роуминг
7650,Как мне проверить без регистрации свой интернет сколько осталось или,Баланс
7651,как узнать свой номер,SIM-карта и номер
7652,Как перевезти язык в сообщениях,Оплата
7653,"Здравствуйте, как узнать остаток гигабайт? ",Баланс
7654,Что значит команда звездочка 000 звездочка 1 решетка,Мобильные услуги
7655,*номер,Мобильные услуги
7656,Что такое?,Мобильные услуги
7657,Здравствуйте как подключить интернет ,Мобильный интернет
7658,тариф,мобильная связь - тарифы
7659,тариф,мобильная связь - тарифы
7660,"тарифный план мой, сколько я плачу еженедельно, бесплтаные минуты внутри сети",FAQ - интернет
7661,Как отключить услугу,Мобильные услуги
7662,Хочу поменять тариф на тарифй без интернета,мобильная связь - тарифы
7663,У меня и так 95 в неделю у меня вай фай дома хочу использовать оператортариф для разговоров,Мобильные услуги
7664,дополнительный баланс,Баланс
7665,Как подключиться на это пять,мобильная связь - тарифы
7666,Остатки интернета на тарифе тариф,мобильная связь - тарифы
7667,Проверка остатки на тарифе тариф,Баланс
7668,тариф,мобильная связь - тарифы
7669,Как я могу перейти на тариф ''?,мобильная связь - тарифы
7670,Как номер менять ,SIM-карта и номер
7671,как узнать свободен ли номер ?,SIM-карта и номер
7672,услуга,Мобильные услуги
7673,Как перейти с тарифа за 95 в неделю на тариф за 590,FAQ - интернет
7674,Как узнать остаток на балансе?,Баланс
7675,модем,Устройства
7676,не могу войти в лк,Личный кабинет
7677,тарифный план 60,мобильная связь - тарифы
7678,тарифный план тариф за 60сом,мобильная связь - тарифы
7679,Какие есть тарифы тариф,мобильная связь - тарифы
7680,Можно узнать кто отправил сообщение на номер в течении часа,SIM-карта и номер
7681, как подобрать номер,SIM-карта и номер
7682,Раскажите про услугу ,Мобильные услуги
7683,как получить доверительный платеж в размере 40 сом,Мобильные услуги
7684,есть контакт,Мобильные услуги
7685,есть контакт,Мобильные услуги
7686,Какие тарифы существует,FAQ - тарифы и услуги
7687,На какой номер отправить смс для активации интернет пакет,Баланс
7688,Как активировать интернет пакет через спс,Мобильный интернет
7689,Как активировать интернет пакет через спс,Мобильный интернет
7690,Как активировать интернет пакет через смс ,Мобильные услуги
7691,Как активировать интернет пакет через смс,Мобильный интернет
7692,Как активировать интернет пакет через смс на моделин,Мобильный интернет
7693,Как активировать интернет пакет через смс на модеме ,Устройства
7694,Как активировать интернет пакет через смс на модеме,Мобильный интернет
7695,Как активировать симкарту,SIM-карта и номер
7696,как проверить на платные услугу ,FAQ - тарифы и услуги
7697,Как отключить услугу,Мобильные услуги
7698,как проверить платные услуги,FAQ - тарифы и услуги
7699,Неправильно загрузили единицы,Баланс
7700,Как отменить загрузку на чужой номер,SIM-карта и номер
7701,Автонастройки на интернет,FAQ - интернет
7702,настройки на интернет,Мобильный интернет
7703,Сегодня пополнил баланс на 50ед но тариф не подключился,мобильная связь - тарифы
7704,тариф,мобильная связь - тарифы
7705,тарифы,мобильная связь - тарифы
7706,Подобрать тарифы,тарифы - подбор
7707,Как перевести баланс на другой телефон?,Оплата
7708,Активируйте сим карту,SIM-карта и номер
7709,Мой телефон не поддерживаетLITE что делать,Мобильный интернет
7710,Самый дешевый тариф вот сети,FAQ - интернет
7711,«тариф»,мобильная связь - тарифы
7712,Как подключить роуминг в Сочи?,Мобильные услуги
7713,Вам помочь подобрать тариф?,тарифы - подбор
7714,мне нужно настроить переадресацию,Мобильные услуги
7715,переадресация на ,Мобильные услуги
7716,переадресация на megacom,Мобильные услуги
7717,Безлимитный ,мобильная связь - тарифы
7718,тариф ,мобильная связь - тарифы
7719,Мой номер,SIM-карта и номер
7720,тариф,мобильная связь - тарифы
7721,как отправить через сайт смс,Мобильные услуги
7722,как проверит осталос мегабайти,Баланс
7723,тариф,мобильная связь - тарифы
7724,тариф,мобильная связь - тарифы
7725,Как подключить ,мобильная связь - тарифы
7726,Какой самый выгодный тариф вне сети,FAQ - интернет
7727,Как подключиться к тарифу всё  за 50! ,мобильная связь - тарифы
7728,тариф,мобильная связь - тарифы
7729,Как отключить свой тариф,FAQ - тарифы и услуги
7730,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7731,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7732,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7733,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7734,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7735,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7736,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7737,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7738,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7739,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7740,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок?",Оплата
7741,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7742,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7743,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7744,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7745,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7746,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7747,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7748,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7749,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7750,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7751,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7752,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7753,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7754,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7755,"Здравствуйте, прошу сказать: правда ли то что за пополнение баланаса в 1000 сом я получу 5 Гб интерета бесплатно в подарок? ",Оплата
7756,Код подключения к тарифу все 90,мобильная связь - тарифы
7757,Код подключения тарифа тариф,мобильная связь - тарифы
7758,город  тариф  ,мобильная связь - тарифы
7759,Как поменять свой номер дай код,SIM-карта и номер
